og_representation,mapping,confusion,frequency
कृष्णाकुंज,Krishnakunj,,50
कॉलेज,College,,50
ख०नं०,Khasra no,y,50
गुरुक्रपा,Gurukrupa,,50
डि,D,,50
ण्क,Nk,y,50
धांधूपुरा,Dhandhupura,,50
ऩ०,no,y,50
पाडा,Pada,,50
फिल्ैट,Flat,y,50
बृजरज,Brujraj,,50
मन्दिर,Mandir,,50
रकबई,area,y,50
रकाबगंज,Rakabganj,,50
रसूलपुर,Rasulpur,,50
राजेन्द्र,Rajendra,,50
राधाकुन्ज,Radhakunj,,50
रू,Ru,,50
विद्या,Vidya,,50
वॉके,Voke,y,50
शामिलाती,Shamilati,,50
समोला,Samola,,50
सिकन्‍दरा,Sikandara,,50
स्ट्रीट,Street,,50
ान,,y,50
अकृषिक,Akrushik,,49
ऊषाकुंज,Ushakunj,,49
खातेजातो,Khatejato,,49
गोमती,Gomti,,49
जगदीशपुरा,Jagdishpura,,49
जैगारा,Jaigara,,49
डेवल्पर्स,Developers,,49
तजबीजा,Tajbija,,49
दुर्गापुरी,Durgapuri,,49
ध,Dh,,49
नालंदा,Nalanda,,49
निर्मत,Nirmat,,49
प्रा०,,y,49
बरारी,Barari,,49
बंशी,Banshi,,49
बारहवां,12th,y,49
महल,Mahal,,49
मोहल्ला,Mohalla,,49
रानाकुंज,Ranakunj,,49
रायल,Royal,y,49
रोज,Roj,,49
र्मी,Rmy,y,49
लाइन,Line,,49
शास्त्री,Shastri,,49
सहनपुर,Sahanpur,,49
सैन्टपौल्स,,y,49
हेक्‍टेयर,Hectare,,49
अपनी,Apni,,48
अादि,Aadi,,48
आगर,Aagar,,48
आराजी‚,registered,y,48
एचआईजी,HIG,,48
एन्क्लेब,Enclave,,48
ऐठ,Eth,y,48
काव्यांजलि,Kavyanjali,,48
कृष्णबिहार,Krishna bihar,,48
केे,K,,48
खलौआ,Khalauaa,y,48
गंगोत्री,Gangotri,,48
गॉव,Gaon,y,48
गौतम,Gautam,,48
चामुण्डा,Chamunda,,48
जयनगर,Jay nagar,,48
डाकतार,Daktar,,48
प्रधान,Pradhan,,48
फ़ेस,Phase,,48
बढाना,Badhana,,48
बूढी,Budhi,,48
ब्लू,Blue,,48
भाहई,Bhahai,y,48
मिल,Mill,y,48
मुकुन्द,Mukund,,48
मुजरा,Mujra,,48
मुडहेरा,Mudhera,,48
इस्लाम,Islam,,47
उच्च,Uchh,y,47
एम०जी०,,y,47
एयरपोर्ट,Airport,,47
एिक,,y,47
करने,Karne,,47
केदार,Kedar,,47
कोर्टेज,Cortage,y,47
क्लस्टर,Cluster,,47
खाल,Khal,,47
गौंगा,Gaunga,,47
जस्सा,Jassa,,47
जोगीपुरा,Jogipura,,47
द्वारिकेश,Dwarikesh,,47
पतसाल,Patsal,,47
पावन,Pavan,,47
बौद्व,Baudva,y,47
भगौर,Bhagaur,,47
मुक्त,Mukt,,47
राजपाल,Rajpal,,47
रामजीलाल,Ramjilal,,47
वृन्दाकुंज,Vrundakunj,,47
सडक,Sadak,,47
सात,7,y,47
हरीनगर,Hari nagar,,47
है०विक्रय,Hectare,y,47
अंदरुनी,Andaruni,,46
आबादी‚,"Aabadi,",y,46
आयतो,Aayto,,46
इस्लामगंज,Islamganj,,46
ईकाई,Ikai,,46
एक्,Ek,y,46
ककिता,Kakita,,46
कालोैनी,Colony,,46
कोटा,Kota,,46
गिरधरपुर,Girdharpur,,46
चौकी,Chauki,,46
जनकपुरी,Janakpuri,,46
दोनोखातो,Donokhato,,46
नरायच‚,"Naraych,",y,46
परिषद,Parishad,,46
पाद,Pad,,46
पुरम‚,"Puram,",y,46
पुरम्,Puram,y,46
प्लानेट,Planet,,46
फ़०,,y,46
फेेस,Phase,,46
बची,Bachi,,46
बम्बा,Bamba,,46
बाकरपुर,Bakarpur,,46
मनकेडा,Mankeda,,46
मीु,,y,46
रामविहार,Ram vihar,,46
ल०,,y,46
लगानी,Lagani,,46
विकय,Vikay,,46
विधानगर,Vidha nagar,,46
सम्‍पत्ति,Sampatti,,46
सिर्फ,Sirf,,46
हूँ,Hun,,46
हैक्टयर,Hectare,,46
अंजनी,Anjani,,45
अपार्टमेण्ट‚,"Apartment,",,45
अलवर,Alvar,,45
नरहौली,Narhauli,,45
प्रतीक,Pratik,,45
बाथरूम,Bathroom,,45
बाबू,Babu,,45
बेलनगंज,Belanganj,,45
मलिन,Malun,,45
मिलन,Milan,,45
लक्ष्मीपुर,Lakshmipur,,45
विकृय,Vikruy,,45
विधा,Vidha,,45
वैराज,Vairaj,,45
शाक्ति,Shakti,,45
शेड,Shed,,45
सरला,Sarla,,45
सैक्‍टर,Sector,,45
स्वकर,Svakar,,45
अम्बेडकर,Ambedkar,,44
आ०,,y,44
ई३,,y,44
एमराल्ड,Emerald,,44
कर्मयो्गी,Karmyogi,y,44
गौरा,Gaura,,44
चांदनी,Chandani,,44
जानिव,Janiv,,44
दुकान‚,"Dukan,",y,44
निवास,Nivas,,44
नीयर,Near,,44
बल्लभकुंज,Ballabhkunj,,44
भागपर,Bhagpar,,44
मि०खसरा,,y,44
मॉल,Mall,,44
यशोदा,Yashoda,,44
रघुनाथ,Raghunath,,44
रजत,Rajat,,44
राधाकृष्णकुंज,Radhakrishnakunj,,44
लोटस,Lotus,,44
वैस्ट,West,,44
सुशान्त,Sushant,,44
है०व,Hectare,y,44
अग्रसैन,Agrasain,,43
अदा,Ada,,43
आठवा,8th,y,43
आनन्दपुरम,Anandpuram,,43
आर्केड,Arched,y,43
इन्कलेव,Enclave,,43
एंथम,Anthem,,43
ऐयर,Air,,43
कड,Kad,,43
कविता,Kavita,,43
कौस्तूभ,Kaustubh,,43
क्षंे,Area,y,43
खन्‍दौली,Khandauli,,43
गरूड,Garud,,43
गुरूकृपा,Gurukrupa,,43
छीतर,Chitar,,43
जमनेश्वर,Jamneshrvar,y,43
झ,Z,y,43
डावली,Davli,,43
डिवाईन,Divine,,43
देवजीत,Devjeet,,43
पचगांई,Pachganai,y,43
पू०,,y,43
पोर्ट,Port,,43
फैलिसा,Failisa,,43
बाँके,Banke,,43
बृजराज,Brujraj,,43
भगा,Bhaga,,43
भावना,Bhavana,,43
मिं०,,y,43
मिर्जापुर,Mirzapur,,43
रेजिडेंशियल,Residential,,43
रेजीडैन्सी,Residency,,43
लि,Li,,43
व्‍यवसायिक,Vyavsayik,,43
शिवम,Shivam,,43
ंसं,,y,43
सतयुगधाम,Satyug dham,,43
सम्पुण,Sampun,,43
सलेमपुर,Salempur,,43
सुखदेव,Sukhdev,,43
सुन्दरवन,Sundarvan,,43
अम्बिका,Ambika,,42
आगा,Aaga,,42
ऋषि,Rishi,,42
एक्स०,,y,42
कालेज,College,,42
कुॅज,,y,42
के०आर०,KR,y,42
कैसल,Castle,,42
गारडन,Garden,,42
गोधा,Godha,,42
छावनी,Chavni,,42
छोडकर,Chodkar,,42
जगनेर,Jagner,,42
जलेसर,Jalesar,,42
दिगनेर,Digner,,42
नेहरू,Nehru,,42
नैनो,Neno,y,42
फरह,Farah,,42
मदनपुर,Madanpur,,42
मिन०,,y,42
यूजी,UG,,42
राधाकृष्णपुरम,Radhakrishnapuram,y,42
वतादाद,square meter,,42
विक्रीतरकवा,Vikritrakva,,42
वृन्दावली,Vrundavali,,42
शारदापुरम,Shardapuram,,42
संजीवनी,Sanjivani,,42
हेे०,Hectare,y,42
आरव,Aarav,,41
इटरनिटी,Eternity,,41
काभागक्षेत्रफल,Ka bhag kshetrafal,y,41
गांधी,Gandhi,,41
छटवां,6th,y,41
डी०,,y,41
धरती,Dharti,,41
नटवर,Natvar,,41
नाथपुरम,Nathpuram,,41
नौवां,9th,,41
प्रा०लि०,,y,41
बटा,Bata,,41
बार्ड,Bard,y,41
बैराज,Bairaj,,41
ब्राहमण,Brahman,,41
भैंस,Bhains,,41
मि०जु०,,y,41
वेदान्ता,Vedanta,,41
व्दितीयतल,Vditiytal,y,41
श्रीभगवान,Shri bhagvan,,41
सातवांतल,Satvatal,y,41
सूर्या,Surya,,41
स्वरण,Svaran,,41
ाग,,y,41
एक्सटेन्शन,Extension,,40
एम०एम०आई०जी०,,y,40
कुज,Kuj,,40
खतौनी,Khatauni,,40
घट्वासन,Ghatvasan,y,40
जवाहर,Jawahar,,40
तिराहे,Tirahe,,40
तेज,Tej,,40
दुकानात,Dukanat,,40
दूर,Dur,,40
धनोली,Dhanoli,,40
पश्चिमपुरी,Paschimpuri,y,40
बसन्तबिहार,Basant bihar,,40
बहुमंजलीय,Bahumanjaliy,,40
बाउन्‍डी,Boundary,,40
मंगल,Mangal,,40
मधु,Madhu,,40
मार्केटिंग,Marketing,,40
मुढी,Mudhi,,40
वालाये,Valaye,,40
शाक्तिपुरम,Shaktipuram,,40
शाहकुंज,Shahkunj,,40
सचिन,Sachin,,40
सदरवन,Sadarvan,,40
सेकटर,Sector,,40
सैकटर,Sector,,40
हरदेव,Hardev,,40
हैै०,Hectare,y,40
ेख्ेतखसरा,Khasra,y,40
अष्टम,8th,y,39
अहीर‚,"Ahir,",y,39
इसप्रकार,Is prakar,,39
एपीआई,API,,39
गाटर,Gatar,,39
गुढा,Gudha,,39
गुलाव,Gulav,,39
गोविन्दपुरी,Govindpuri,,39
घटवासन‚,"Ghatvasan,",y,39
चौदहवां,14th,y,39
जायादाद,Jayadad,,39
धौर्रा,Dhaurra,,39
नाइन्थ,9th,,39
नागर,Nagar,,39
पंचायत,Panchayat,,39
प्रगतिवन,Pragativan,,39
फतेह,Fateh,,39
मुजफ्फर,Mujaffar,,39
र्वग्मी,Rvagmi,y,39
वर्गफुट,square foot,,39
शकूर,Shakoor,,39
शुभम,Shubham,,39
सब्जी,Sabji,,39
हे०में,Hectare,y,39
ै,,y,39
अंगूठी‚,"Anguthi,",,38
आटस,Aatas,,38
आर्किड,Archid,y,38
इण्डस्ट्रीयल,Industrial,,38
उर्खरा,Urkhara,y,38
काशी,Kashi,,38
किरायानामा,Kirayanama,,38
केभाग,Kebhaag,,38
क्रम,Kram,,38
क्वार्टर,Quarter,,38
खाल्ी,,y,38
खुर्द,Khurd,,38
गुरु,Guru,,38
जमुनाधाम,Jamuna dham,,38
तोता,Tota,,38
नन्दनन्दन,Nandnandan,,38
नर्मदा,Narmada,,38
पारस,Paras,,38
पालीखेड़ा,Palikheda,,38
पुश्तैनी,Pushtaini,,38
पैट्रोल,Petrol,,38
प्लाटन०,,y,38
फ्लेंट,Flat,,38
बोदला‚,"Bodla,",y,38
भीतर,Bhitar,,38
भूख्ण्ड,Bhukhand,,38
भूड,Bhud,,38
मंजिल‚,Manjil,y,38
मोतीकुंज,Motikunj,,38
मौह०,,y,38
वाणिज्यिक,Vanijyik,,38
विभव,Vibhav,,38
शिववालानाथ,Shiv valanath,,38
स्तिथ,Stith,,38
हिगोट,Higot,,38
ि‍किता,,y,38
अनूप,Anoop,,37
अन्दयन,Anadyan,,37
अलवतिया,Alvatiya,,37
आवासी,Aavasi,,37
एबी,AB,,37
कलवारी‚,Kalvari,y,37
किसान,Kisan,,37
किेता,Kita,,37
कौलक्‍खा,Kaulakkha,y,37
क्षेे,Kshe,,37
ग्रेटर,Greater,,37
छठा,6th,y,37
छठां,6th,y,37
जमालनगर,Jamal nagar,,37
जीधाम,Jidham,,37
जु०,,y,37
तौसी,Tausi,,37
दामोदरपुरा,Damodarpura,,37
नवलपुर,Navalpur,,37
निर्मल,Nirmal,,37
नौफरी,Naufari,,37
पुराने,Purane,,37
पॉल्स,Polls,y,37
फर्श,Farsh,,37
फलौर,Floor,,37
बाउण्ड्री,Boundary,,37
बाहर‚,"Bahar,",y,37
बैनामा,Bainama,,37
ब्याज,Byaj,,37
ब्रजरज,Brajraj,,37
मंजिली,Manjili,,37
मुवारिजपुर,Muvarijpur,,37
यू०जी०,,y,37
वर्गमीटरका,square meter,y,37
विमल,Vimal,,37
विलेज,Village,,37
विस्तार,Vistar,,37
श्यामा,Shyama,,37
श्रीपाद,Shreepad,,37
सलैमाबाद,Salaimabad,,37
सहखातेदार,Sahkhatedar,,37
सालाना,Salana,,37
सिटी‚,"City,",y,37
सेकण्ड,2nd,,37
हुसैनी,Husaini,,37
अक्खे,Akkhe,,36
अदि,Adi,,36
अलीपुर,Alipur,,36
एलोटमेन्ट,Allotment,,36
काभा,Kabha,,36
कालौनी‚,Colony,y,36
कि‍ता,Kita,,36
कृष्णवन,Krishnavan,,36
क्रमश,Kramash,,36
खिड़की,Khidki,,36
गाटासं,Gatasan,y,36
चेतन,Chetan,,36
चौधरी,Chaudhari,,36
छठमतल,Chathmatal,,36
ज्‍योति,Jyoti,,36
टपरा,Tapra,,36
ठारदर्शी,Thardarshi,,36
डेढ,Dedh,,36
त्रिवेणी,Triveni,,36
दुर्वल,Durval,,36
नम्बरान,no,y,36
नौवा,9th,y,36
पु,Pu,,36
पुरान,Puran,,36
प्रहलाद,Prahlad,,36
फ़र्स्ट,1st,y,36
फलैठ,Flat,y,36
बंसत,Bansat,,36
बीन,Bin,y,36
भार,Bhar,,36
भारती,Bharti,,36
मं,Man,y,36
मटर,Matar,,36
माकरौल,Makraul,,36
मुंबई,Mumbai,,36
मेंमेरा,Menmera,y,36
राष्ट्रीय,Rashtriy,,36
रौहता‚,Rauhata,y,36
लखनपुर,Lakhanpur,,36
लश्करपुर,Lashkarpur,,36
वर्गमीप्लाटनं,Vargmi Plot number,y,36
विवेक,Vivek,,36
विहार‚,"Vihar,",y,36
शंघाई,Shanghai,,36
स्वरूप,Swaroop,,36
हरिदास,Haridas,,36
हैक्अ,Hectare,y,36
ेहे,,Y,36
‚प्लाट,",Plot",y,35
अकबरपुर,Akbarpur,,35
अग्रवाल,Agraval,,35
आनन्दलोक,Anandlok,,35
आफ,Of,,35
आरती,Aarti,,35
एलजी,LG,,35
कल्पना,Kalpana,,35
कालिन्दीकुंज,Kalindikunj,,35
किराये,Kiraye,,35
कैमेलिया,Kaimeliya,y,35
खां,Khasra no,y,35
खेरिया,Kheriya,,35
गजाधर,Gajadhar,,35
चारो,4,y,35
जमुनेश्वर,Jamuneshravar,y,35
जीपुरम,Jipuram,,35
तिलकद्वार,Tilaakdwar,,35
द्वारा,Dwara,,35
नग,Naga,,35
नंम्बर,no,,35
पलाअ,Palaa,y,35
पाकेट,Pocket,,35
पाम,Pam,,35
पुर,Pur,,35
बडा,Bada,,35
बल्देवपुरी,Baldevpuri,,35
बृजरानी,Brujrani,,35
मन्जिल,Manjil,,35
मल्लिका,Mallika,,35
माैैजा,Mauja,,35
मौके,Mauke,,35
रहुंगा,Rahunga,,35
रामरतन,Ramratan,,35
रोम,Rom,,35
लालदास,Laldas,,35
वगमीटर,square meter,,35
सतयुग,Satyug,,35
सर्वरी,Sarvari,,35
सालासर,Salasar,,35
सींगना,Singna,,35
सैादा,Sauda,y,35
हिंगौट,Hingaut,,35
हौम्स,Homes,,35
अटूस,Atus,,34
अंदुरून,Andurun,,34
इन्सपायर,Inspire,,34
ऊॅची,,y,34
एमएमआईजी,MMIG,,34
कन्हैयापुरी,Kanhaiyapuri,,34
कुछ,Kuch,,34
कोषदा,Koshda,,34
गार्डर,Gardar,y,34
गेटवे,Gateway,,34
छठवॉ,6th,y,34
जंगजीत,Jangjeet,,34
दया,Daya,,34
दास,Das,,34
दुकानें,Dukane,,34
धरैरा,Dharaira,,34
नन्दनवन,Nandanvan,,34
नबर,no,y,34
निधिवनधाम,Nidhivan dham,,34
नीम,Neem,,34
पट्टी,Patti,,34
पलट,Plot,,34
पुलिया,Puliya,,34
पैमाईस,Premise,y,34
प्रेरणा,Prerna,,34
प्रोपर्टी,Property,,34
प्लाटस्ं,Plot number,y,34
प्लााट,Plot,y,34
बाउन्ड्री,Boundary,,34
भूूखण्ड,plot,,34
भ्ूमि,,Y,34
मनकैडा,Mankaida,,34
महुआ,Mahuaa,y,34
यानिकि,Yaniki,,34
रामकुंज,Ramkunj,,34
लगभग,Lagbhag,,34
लाट,Lat,,34
वर्गंमी,Sqaure,,34
वैष्णवी,Vaishnavi,,34
श्रीगिर्राज,Shri girraj,,34
श्रीनगर,Shri nagar,,34
सामरा,Samra,,34
सुमित्रा,Sumitra,,34
हरीश,Harish,,34
अनन्त,Anant,,33
इन्दूपुरम,Indupuram,,33
उत्तरदक्षिण,Uttar dakshin,,33
एक्सीलेन्ट,Excellent,,33
एम०,,Y,33
कावेरीकुंज,Kaverikunj,,33
किशोरकुंज,Kishorkunj,,33
कुलकिता,Kulkita,,33
कुलर,Cooler,y,33
कॉम्पलैक्स‚,"Complex,",y,33
कौशिकी,Kaushiki,,33
क्रमशः,Kramashah,y,33
क्रय,Kray,,33
खसरासंख्या,Khasra no,y,33
घर,Ghar,,33
चौ०,,y,33
चौगान,Chaugan,,33
टुण्डपुरा,Tundpura,,33
टेडेश्‍वर,Tedeshvar,,33
टैकमैन,Taikman,y,33
तै,Tai,,33
दीक्षा,Diksha,,33
देवीराम,Deviram,,33
द्वारिकापुरम,Dwarikapuram,,33
नजूल,Najool,,33
पर्ल्स,Pearla,,33
पानीगांव,Panigaon,,33
पार्श्‍वनाथ,Parshvnath,,33
पिंक,Pink,,33
पुष्पाजंली,Pushpajanli,y,33
पोईया,Poiya,,33
पौइन्ट,Point,,33
प्रथमतल‚,"Prathamtal,",y,33
बिरला,Birla,,33
बुद्ध,Buddha,,33
ब्‍लॉक,Block,,33
मखदूमपुर,Makhdumpur,,33
मिथलेश,Mithlesh,,33
मिली,Mili,,33
मुख्यबाजार,Mukhyabajar,,33
यमुनोत्री,Yamunotri,,33
रामदास,Ramdas,,33
रेटन,Retan,,33
वर्गमीट,square meter,,33
वाधवा,Vadhva,,33
विक्रेतागण,Vikretagan,,33
विदयापुर,Vidayapur,,33
विद्यापुर,Vidyapur,,33
वेसमेन्ट,Basement,y,33
शरणम्,Sharanam,y,33
श्रीराधासिटी,Shree radhacity,y,33
सरोवर,Sarovar,,33
सुदामा,Sudama,,33
सेवेंथ,7th,,33
सॉई,,y,33
स्टेशन,Station,,33
स्वप्न,Swapn,,33
हम,Hum,,33
ॐ,Om,y,32
अभैदौपुरा,Abhaidoupura,,32
अयोध्यापुरम,Ayodhyapuram,,32
अरदाया,Ardaya,,32
अरहर‚,"Arhar,",y,32
अर्पणा,Arpana,,32
आई०,,y,32
एनएआर,NAR,,32
ओर,Or,y,32
कारण,Karan,,32
कालिंदी,Kalindi,,32
किशोरीधाम,Kishori dham,,32
केवलरकवा,Kevalrakva,,32
कॉलोनी‚,Colony,,32
खंडनशुदा,Khandanshuda,,32
खरीदार,Kharidar,,32
खसरास०,Khasra no,y,32
चन्द्रलोक,Chandralok,,32
चॉदनी,,y,32
जनक,Janak,,32
जस्से,Jasse,,32
जाजऊ,Jajau,,32
थोक,Thok,,32
द्धितीयतल,Ddhiytal,y,32
नन्दपुरा,Nandpura,,32
नीरज,Neeraj,,32
पटटा,Patta,,32
परबना,Parabna,,32
बागर,Bagar,,32
बीच,Bich,,32
मकाननं,house number,y,32
मजरा,Majra,,32
मलिका,Malika,,32
मुरली,Murli,,32
राजमार्ग,Rajmarg,,32
लाइफ,Life,,32
विक्रत,Vikrat,,32
विष्णूधाम,Vishnu dham,,32
श्रीगणेश,Shree ganesh,,32
श्रीजीधाम,Shriji dham,,32
सती,Sati,,32
सत्‍यम,Satyam,,32
सत्या,Satya,,32
सदन,Sadan,,32
सर्वेन्ट,Servant,,32
सष्टम,6th,y,32
सिंगापुर,Singapur,,32
हवेली,Haveli,,32
हाजीपुर,Hajipur,,32
हैबीटेट,Habitat,,32
अपार्ट,Apart,,31
अर्रूआ,Arruaa,y,31
कआदि,Kaaadi,y,31
कबा,Kaba,,31
कमरानुमा,Kamranuma,,31
खसारा,Khasra no,,31
गढसानी,Gadhsani,,31
गाटानं,Gata number,y,31
गूजर,Goojar,,31
गृह,Gruh,,31
गोला,Gola,,31
चकहफतम,Chakhaftam,,31
चारों,4,y,31
डायमण्ड,Diamond,,31
डीवाईन,Divine,,31
त़तीयतल,Tatiytal,,31
तोष,Tosh,,31
नरेन्द्र,Narendra,,31
नौगांव,Naugaon,y,31
पट्टा,Patta,,31
प्लाअसं,,y,31
फैस,Phase,,31
बद्रीनगर,Badri nagar,,31
बाईपास,Bypass,,31
बाग‚,"Bag,",y,31
बृजबिहार,Bruj bihar,,31
भगत,Bhagat,,31
भाग‚प्लाट,"Bhag, Plot",y,31
माल,Mall,,31
मिलते,Milate,,31
रघु,Raghu,,31
रघुनाथपुरी,Raghunathpuri,,31
रानाकुन्ज,Ranakunj,,31
रामपुर,Rampur,,31
रेजी,Regi,,31
र्फस्ट,1st,y,31
लवकुश,Luvkush,,31
वरदान,Vardan,,31
वास०अ०,,y,31
वासदेव,Vasdev,,31
विद्‍या,Vidya,,31
श्‍यामों,Shyamo,,31
सरजेपुर,Sarjepur,,31
साबिक,Sabik,,31
सिह,Sih,,31
सुम्मेरपुरी,Summerpuri,,31
हसनपुर,Hasanpur,,31
हिसाब,Hisab,,31
हैक्टेर,Hectare,,31
ाखसरा,Khasra,y,31
ेखेतखसरा,Khasra,y,31
अग्रसेन,Agrasen,,30
अभिषेक,Abhishek,,30
अयोध्या,Ayodhya,,30
अरहर,Arhar,,30
अरहेरा,Arhera,,30
इन्दुपुरम,Indupuram,,30
ऊँचागांव,Unchagaon,,30
एक‍,1,y,30
एव,Av,,30
कान्हाकुंज,Kanhakunj,,30
कालौनीफेस,Colony phase,,30
केलनगंज,Kelanganj,,30
गण्ेशपुरम,,y,30
गाट,Gat,,30
ग्रेन्डयोर,Grandeur,y,30
छदामी,Chadami,,30
जैंगारा,Jaingara,,30
टेकमेन,Techman,y,30
टेडेश्वर,Tedeshravar,y,30
ड्रीम्स,Dreams,,30
ताजगंंज,Tajganj,,30
दादूपुरा,Dadupura,,30
देवलोक,Devlok,,30
धौली,Dhauli,,30
नन्दा,Nanda,,30
पटाव,Patav,,30
पार्थ,Parth,,30
पेच,Pech,,30
प्रगतिशील,Pragatisheel,,30
प्रेमनगर,Prem nagar,,30
प्लेस‚,"Place,",y,30
फसे,Fase,,30
बकिया,Bakiya,,30
बापू,Bapu,,30
बारह,12,y,30
भाग्,Bhag,y,30
मारुती,Maruti,,30
रवि,Ravi,,30
रामलाल,Ramlal,,30
ललिताधाम,Lalita dham,,30
वर्ममीटर,square meter,y,30
वंशी,Vanshi,,30
वाकन्दा,Vakanda,,30
वाकन्दाखास,Vakandakhas,,30
विलासगंज,Vilasganj,,30
शाहपुर,Shahpur,,30
शीतलधाम,Sheetal dham,,30
शोरूम,Show room,,30
सम्‍पूर्ण्,Sampurn,y,30
साँई,Sai,,30
स्थिति,located,,30
है。,Hectare,y,30
अन्‍दर,Andar,,29
अमरपुरम,Amarpuram,,29
इक,Ik,y,29
इन्कारनेशन,Incarnation,,29
ईश्वर,Ishravar,y,29
उखर्रा‚,"Ukharra,",y,29
उपाध्यायपुरम,Upadhyaypuram,,29
काउत्तरी,Kauttari,,29
किचिन,Kitchen,,29
कृशि,Agricultural,,29
केशवपुरम,Keshavpuram,,29
खस,Khas,,29
खैरानी,Khairani,,29
गर,Gar,,29
गुने,Gune,,29
गौरापाड़ा,Gaurapada,,29
चन्द,Chand,,29
छटातल,Chatatal,,29
ट्रेड,Trade,,29
पुष्‍पा,Pushpa,,29
पूण्र,Punra,,29
प्लेटीनम,Platinum,,29
बद्री,Badri,,29
बबरौद,Babraud,,29
बरकबा,Barakba,,29
बाकी,Baki,,29
बुद्व,Budva,y,29
बेसमेन्‍ट,Basement,,29
मस्जिद,Masjid,,29
मुरलीकुंज,Murlikunj,,29
मुरलीधरधाम,Murlidhar dham,,29
मुस्कान,Muskan,,29
रहनकला,Rahankala,,29
रायपुर,Raipur,y,29
रैजीडैन्सी,Residency,,29
र्वमी,Rvmi,y,29
लोहामण्डी‚,Lohamandi,,29
वर्ष,Varsh,,29
वसैया,Vasaiya,,29
वृन्दापुरम,Vrundapuram,,29
वैकुण्ठ,Vaikunth,,29
शान्तिवन,Shantivan,,29
संक्रमणीय,Sankramaniy,,29
सपेरा,Sapera,,29
सम्पूूर्ण,Sampurn,,29
सीजन,Season,,29
सौन्दर्म,Saundarm,,29
हरिपर्वत,Hari parvat,,29
हीरा,Heera,,29
हुयी,Huyi,,29
अतिरिक्त,Atirikt,,28
आठ,8,,28
आरोग्य,Aarogy,,28
एक्सटंेशन,,y,28
कबूलपुर,Kabulpur,,28
करन,Karan,,28
करना,Karna,,28
कल्पबट,Kalpbat,,28
काछीपुरा,Kachipura,,28
किंग्स,Kings,,28
केन्द्र,Kendra,,28
केलिडोरा,Kelidora,y,28
केशवनगर,Keshav nagar,,28
कोरई,Korai,y,28
क्लाउडस,Cloudas,y,28
खण्डहर,Khandahar,,28
खंदारी,Khandari,,28
खा०,Khasra no,y,28
खाण्डा,Plot,,28
गाटज्ञ,Gatdnya,y,28
गिरधर,Girdhar,,28
गुम्मट,Gummat,,28
गुरूकृपाधाम,Guru krupa dham,,28
गुरूधाम,Guru dham,,28
जे०,J,y,28
टीचर्स,Teachers,,28
टैकमेन,Techman,y,28
तिकोना,Tikona,,28
तेरहवां,13th,y,28
धनौली‚,"Dhanauli,",y,28
धौरेरा,Dhaurera,,28
नगलापदी,Naglapadi,,28
नवलगंज,Navalganj,,28
निर्मीत,Nirmit,,28
नीबू,Neebu,,28
पीपल,People,,28
प्रकाशनगर,Prakash nagar,,28
प्रख्यापन,Prakhyapan,,28
ब्रजधाम,Braj dham,,28
भखण्ड,Bhakhand,,28
भूखण्डस,Bhukhandas,,28
मयंक,Mayank,,28
मानसी,Mansi,,28
मि०रकबा,,y,28
मुरारी,Murari,,28
मेप्रथम,Me pratham,y,28
मोतीनगर,Moti nagar,,28
राधेधाम,Radhe dham,,28
रामजीत,Ramjeet,,28
रोडवेज,Roadways,,28
लिंकरोड,Link road,,28
लोकपुरम,Lokpuram,,28
वरूण,Varun,,28
विकृयरकवा,Vikruyarkava,,28
विक्रेय,Vikrey,,28
शकुन्तला,Shakuntala,,28
शिवदास,Shivdas,,28
शैड,Shaid,y,28
श्रीकृष्णशरणम्,Shri krishna sharanam,y,28
श्रीगोपाल,Shree gopal,,28
श्रीजीकुंज,Shrijikunj,,28
श्रीराधापुरम,Shri radhapuram,,28
संध्‍या,Sandhya,,28
संम्‍पूर्ण,Sampurn,,28
हरेकृष्णा,Hare krishna,,28
हाऊस,House,,28
हिस्सेका,Hisseka,,28
है०मेंहिस्सा,Hectare,y,28
हैक्टयेर,Hectare,,28
‚क्षेत्रफल,Area,y,27
अष्टमतल,Ashtamtal,,27
आविदगढ,Aavidgadh,,27
करीब,Kareeb,,27
कादऊवारऊ,Kadauvarau,y,27
किृषि,Krishi,y,27
कौरई,Kaurai,y,27
क्षे़त्रफल,Area,,27
गण्ेशधाम,,y,27
गल्ला,Galla,,27
गौरवा,Gaurava,,27
घ‚,,y,27
चकसोयम,Chaksoyam,,27
डब्लू०,,y,27
डीम,Dim,,27
तौरा,Taura,,27
दीपक,Deepak,,27
देवश्री,Devshree,,27
नेकपुर,Nekpur,,27
पायलपुरम,Payalpuram,,27
पुतरिया,Putriya,,27
पैमायशी,Paimayashi,,27
प्रोपटी,Property,,27
बसई‚,"Basai,",y,27
बहादुर,Bahadur,,27
बेर,Ber,,27
ब्रह्मपुरी,Bramhapuri,,27
भरत,Bharat,,27
भूखण्डन,Bhukhandan,,27
भूमिखाता,land khata,,27
मलखान,Malkhan,,27
म्यूनिसिपल,Municipal,,27
राधाकुण्ड,Radhakund,,27
रामबाग,Rambag,,27
वशिष्ठ,Vashisth,,27
विकसित,Viksit,,27
विक्रय।,Vikray.,y,27
शम्भू,Sambhu,,27
शांती,Shanti,,27
शान्ता,Shanta,,27
श्रीगोपालधाम,Shree gopal dham,,27
सीगना,Signa,,27
सेवन,Sevan,,27
